Titlu,Data,Ora,Locație,Adresă,URL Imagine
Lords of the Sound - Hogwarts Magic Symphony,"miercuri, 8 ianuarie",19:30,"Sala Palatului, București","Strada Ion Câmpineanu,  nr. 28",https://static.iabilet.ro/img/auto_resized/db/event/01/97/27/00000302264-497f-506x716-bmm-d1213970.png
Concert Luna Amara,"joi, 9 ianuarie",19:00,"Quantic, București","Intrarea Grozavesti  82,  060752",https://static.iabilet.ro/img/auto_resized/db/event/01/96/b6/00000301713-d1d7-506x716-bmm-be0d426b.jpg
Arie și Ecou - Concert cuCristina Fieraru și Maxim Belciug,"joi, 9 ianuarie",19:30,"Teatrul Coquette, București",Calea Calarasi 94,https://static.iabilet.ro/img/auto_resized/db/event/01/9d/d9/00000308987-2688-506x716-bmm-ea28a125.jpg
Concert Sarmalele Reci,"joi, 9 ianuarie",21:00,"Hard Rock Cafe, București","Sos. Kiseleff, nr. 32, Parc Herastrau",https://static.iabilet.ro/img/auto_resized/db/event/01/94/5e/00000299605-7d78-506x716-bmm-719e0cdb.jpg
Ionel Tudorache @ 14th Lane,"vineri, 10 ianuarie",19:30,"14th Lane, București","Șoseaua Orhideelor 15D, București",https://static.iabilet.ro/img/auto_resized/db/event/01/9a/b6/00000305964-1c53-506x716-bmm-5738e8b3.png
Notes from the Underworld,"vineri, 10 ianuarie, ora",20:00 (acces de la 19:00),"Club Fabrica, București","Strada 11 Iunie 50, București 040172",https://static.iabilet.ro/img/auto_resized/db/event/01/9e/ca/00000310021-a503-506x716-bmm-323dcf4d.png
Concert Timpuri Noi,"vineri, 10 ianuarie",21:30,"Hard Rock Cafe, București","Sos. Kiseleff, nr. 32, Parc Herastrau",https://static.iabilet.ro/img/auto_resized/db/event/01/94/60/00000299603-0a37-506x716-bmm-ed0a5bea.jpg
Jazzy Jo @ 14th Lane,"sâmbătă, 11 ianuarie",19:30,"14th Lane, București","Șoseaua Orhideelor 15D, București",https://static.iabilet.ro/img/auto_resized/db/event/01/9a/b5/00000305962-c361-506x716-bmm-fd1ec0fa.png
Concert Vama,"marți, 14 ianuarie",21:00,"Hard Rock Cafe, București","Sos. Kiseleff, nr. 32, Parc Herastrau",https://static.iabilet.ro/img/auto_resized/db/event/01/92/72/00000304591-dad4-506x716-bmm-427364c7.jpg
Concert Cargo,"miercuri, 15 ianuarie",21:00,"Hard Rock Cafe, București","Sos. Kiseleff, nr. 32, Parc Herastrau",https://static.iabilet.ro/img/auto_resized/db/event/01/92/70/00000298216-96b6-506x716-bmm-11051cca.jpg
Concert deAdMAR - Glonț de smirnă,"joi, 16 ianuarie",19:00,"The Coffee Shop Constitutiei, București","Bulevardul Unirii 5, București 040101",https://static.iabilet.ro/img/auto_resized/db/event/01/9e/75/00000309647-1735-506x716-bmm-656f843a.jpg
Robin and the Backstabbers - UNUSUAL Immersive Concerts PART I,"joi, 16 ianuarie, ora",20:00 (acces de la 19:00),"Mina Museum Bucuresti, București",Strada George Constantinescu 2-4,https://static.iabilet.ro/img/auto_resized/db/event/01/9d/e0/00000309005-fcbc-506x716-bmm-ca560efb.png
Concert byron,"joi, 16 ianuarie",21:00,"Hard Rock Cafe, București","Sos. Kiseleff, nr. 32, Parc Herastrau",https://static.iabilet.ro/img/auto_resized/db/event/01/92/71/00000300099-2c2b-506x716-bmm-a78d158a.jpg
Vlad Flueraru • Lansare Album “Frateso Lu Flui” • Expirat • 16.01,"joi, 16 ianuarie, ora",21:30 (acces de la 20:00),"Expirat Halele Carol, București","Strada Doctor Constantin Istrati 1, București 040542",https://static.iabilet.ro/img/auto_resized/db/event/01/9b/5b/00000306700-1500-506x716-bmm-f2d8da4e.jpg
RAVA @ BB VIILOR 2025,"vineri, 17 ianuarie",18:00,"Manara Blue, București","Splaiul Independenței 319, București 060032",https://static.iabilet.ro/img/auto_resized/db/event/01/94/0f/00000307082-eb16-506x716-bmm-b8ed1754.png
Iulia Dumitrache @ 14th Lane,"vineri, 17 ianuarie",19:30,"14th Lane, București","Șoseaua Orhideelor 15D, București",https://static.iabilet.ro/img/auto_resized/db/event/01/9a/be/00000306001-0bfa-506x716-bmm-8fa4cb18.png
Pinholes & Getchoo • 17.01,"vineri, 17 ianuarie, ora",20:00 (acces de la 19:00),"Quantic, București","Intrarea Grozavesti  82,  060752",https://static.iabilet.ro/img/auto_resized/db/event/01/99/35/00000304288-1341-506x716-bmm-1a0f2b2d.png
"Concert Yoth Iria, Machiavellian God, Dark Fusion, False Reality","sâmbătă, 18 ianuarie",19:00,"Quantic, București","Intrarea Grozavesti  82,  060752",https://static.iabilet.ro/img/auto_resized/db/event/01/84/ac/00000297456-7c2d-506x716-bmm-485db3ec.png
Diana Matei & Taraful Cleante@ 14th Lane,"sâmbătă, 18 ianuarie",19:30,"14th Lane, București","Șoseaua Orhideelor 15D, București",https://static.iabilet.ro/img/auto_resized/db/event/01/9d/53/00000308455-2b44-506x716-bmm-0b73dc7e.jpg
Eliza Natanticu & Ionela Guzic,"sâmbătă, 18 ianuarie",22:00,"True Club, București",Strada Covaci nr.19,https://static.iabilet.ro/img/auto_resized/db/event/01/9a/9a/00000305845-4d0e-506x716-bmm-16505e21.png
"Concert in 3 cu Ada Milea, Bobo Burlacianu si Alex Neagu","duminică, 19 ianuarie, ora",20:00 (acces de la 19:00),"Quantic, București","Intrarea Grozavesti  82,  060752",https://static.iabilet.ro/img/auto_resized/db/event/01/98/fd/00000304294-08e8-506x716-bmm-e060cce1.jpg
Concert Vita de Vie Acustic,"duminică, 19 ianuarie",21:00,"Hard Rock Cafe, București","Sos. Kiseleff, nr. 32, Parc Herastrau",https://static.iabilet.ro/img/auto_resized/db/event/01/94/dd/00000299875-9ae2-506x716-bmm-b1f652d6.jpg
The Duke Ellington Orchestra,"luni, 20 ianuarie",19:00,"Sala Palatului, București","Strada Ion Câmpineanu,  nr. 28",https://static.iabilet.ro/img/auto_resized/db/event/01/8c/2a/00000291042-cf20-506x716-bmm-e33a3399.jpg
Concert Tesseract  si Novelists,"marți, 21 ianuarie",,"Quantic, București","Intrarea Grozavesti  82,  060752",https://static.iabilet.ro/img/auto_resized/db/event/01/84/5c/00000295294-e69e-506x716-bmm-2d93fda3.jpg
